variable,description,type,format,validation,source,hasPII,classification,dissemination,size,remarks
cid,เลขประจำตัวประชาชน 13 หลัก,String,13 digits,Not Null; Unique; Must pass checksum,กรมการปกครอง,Yes,Confidential,Internal,13,Primary Key และนำไปเข้ารหัสก่อนเก็บ
firstname,ชื่อของบุคคลแบบเต็ม,String,Thai/EN text,Not Null,ทะเบียนราษฎร์,Yes,Private,Internal,100,ใช้สำหรับการแสดงผลในระบบ
lastname,นามสกุลของบุคคล,String,Thai/EN text,Not Null,ทะเบียนราษฎร์,Yes,Private,Internal,100,ใช้สำหรับการค้นหา
birthdate,วันเดือนปีเกิด (พ.ศ.),Date,YYYY-MM-DD,Not Null; YYYY > 2400,ทะเบียนราษฎร์,Yes,Private,Internal,10,ใช้คำนวณอายุอัตโนมัติ
gender,เพศของบุคคล,String,M/F/N,Not Null; Value in [M F N],ทะเบียนราษฎร์,No,Open,Public,1,M=Male F=Female N=Not specified
province_code,รหัสจังหวัด 2 หลักตามมาตรฐานกระทรวงมหาดไทย,String,2 digits,Not Null; FK -> ref_province,กรมการปกครอง,No,Open,Public,2,ใช้อ้างอิงสำหรับการสร้าง Dashboard
district_code,รหัสอำเภอ 4 หลัก,String,4 digits,Not Null; FK -> ref_district,กรมการปกครอง,No,Open,Public,4,เชื่อมกับระบบสารสนเทศส่วนภูมิภาค
registration_date,วันที่ลงทะเบียนเข้าใช้งานในระบบศูนย์ข้อมูล,Datetime,YYYY-MM-DD HH:mm:ss,Not Null,ระบบทะเบียน,No,Internal,Internal,19,เก็บเวลาแบบอัตโนมัติ (Auto-generated)
status,สถานะบัญชีการใช้งานของประชาชน,String,Active/Inactive,Not Null; Value in [Active Inactive],ระบบทะเบียน,No,Internal,Internal,10,ใช้สำหรับการ Block User
annual_income,รายได้รวมเฉลี่ยต่อปี (บาท),Float,Decimal(12;2),Nullable; Must >= 0,แบบประเมินผู้ใช้,Yes,Confidential,Internal,14,เป็นข้อมูลอ่อนไหวห้ามนำไปเผยแพร่สาธารณะเด็ดขาด
